FileName,MoleculeListName,MoleculeName,PrecursorMz,ProductMz,RetentionTime,StartTime,EndTime,Area,Height,AcquiredTime
Sample_1,CE,SIL_CE(16:1)_d7_Lipidyzer,647.6,376.5,11.63539982,11.46249962,11.73420048,3139005.5,923553.625,03/13/2021 16:21:44
PLASMA_LTR,CE,SIL_CE(18:1)_d7_Lipidyzer,675.6,376.5,12.25506687,12.10656643,12.56856632,6244911,1067569,03/14/2021 05:33:51
Sample_1,CE,SIL_CE(18:1)_d7_Lipidyzer,675.6,376.5,12.25858402,12.11008358,12.57208347,5664549.5,987826.0625,03/13/2021 16:21:44
PLASMA_LTR,CE,SIL_CE(18:2)_d7_Lipidyzer,673.6,376.5,11.6828661,11.48526669,12.0286665,52380180,9745272,03/14/2021 05:33:51
Sample_1,CE,SIL_CE(18:2)_d7_Lipidyzer,673.6,376.5,11.73629951,11.48929977,12.03269958,56571772,7907155,03/13/2021 16:21:44
PLASMA_LTR,CE,SIL_CE(20:3)_d7_Lipidyzer,699.6,376.5,11.83583355,11.61353397,12.08283424,14592438,3275920,03/14/2021 05:33:51
Sample_1,CE,SIL_CE(20:3)_d7_Lipidyzer,699.6,376.5,11.8142662,11.61666679,12.08596611,25199544,5359390.5,03/13/2021 16:21:44
PLASMA_LTR,CE,SIL_CE(20:4)_d7_Lipidyzer,697.6,376.5,11.43424988,11.23665047,11.73064995,40580100,8603319,03/14/2021 05:33:51
Sample_1,CE,SIL_CE(20:4)_d7_Lipidyzer,697.6,376.5,11.43911648,11.24151707,11.73551655,54851988,12241151,03/13/2021 16:21:44
PLASMA_LTR,CE,SIL_CE(20:5)_d7_Lipidyzer,695.6,376.5,11.04415035,10.86215019,11.46275043,62075540,13315137,03/14/2021 05:33:51
Sample_1,CE,SIL_CE(20:5)_d7_Lipidyzer,695.6,376.5,11.07136726,10.86736679,11.46236706,89279072,19511280,03/13/2021 16:21:44
PLASMA_LTR,CE,SIL_CE(22:6)_d7_Lipidyzer,721.6,376.5,11.19741631,11.04801655,11.62071609,125447376,23030018,03/14/2021 05:33:51
Sample_1,CE,SIL_CE(22:6)_d7_Lipidyzer,721.6,376.5,11.23120022,11.04940033,11.63519955,144148048,32053454,03/13/2021 16:21:44
PLASMA_LTR,CER,CER(14:0),510.6,264.4,6.713433266,6.504833221,6.847533226,56793.07031,11364.84766,03/14/2021 05:33:51
Sample_1,CER,CER(14:0),510.6,264.4,6.72213316,6.505133152,6.846133232,56581.18359,10703.18262,03/13/2021 16:21:44
PLASMA_LTR,CER,CER(16:0),538.6,264.4,7.92751646,7.709916592,8.106716156,2537037.5,441624.0625,03/14/2021 05:33:51
Sample_1,CER,CER(16:0),538.6,264.4,7.922416687,7.706516743,8.112916946,2458248.75,464115.5938,03/13/2021 16:21:44
PLASMA_LTR,CER,CER(18:0),566.7,264.4,9.150066376,8.975067139,9.395066261,1221918.375,401476.125,03/14/2021 05:33:51
Sample_1,CER,CER(18:0),566.7,264.4,9.149849892,8.97385025,9.396249771,2812893.25,852689.875,03/13/2021 16:21:44
PLASMA_LTR,CER,CER(18:1),564.8,264.4,8.676133156,8.617333412,8.718133926,2269.647217,1056.564209,03/14/2021 05:33:51
Sample_1,CER,CER(18:1),564.8,264.4,8.713216782,8.619616508,8.721016884,17115.03906,14515.33496,03/13/2021 16:21:44
PLASMA_LTR,CER,CER(20:0),594.6,264.4,9.466583252,9.177983284,9.653782845,2180559,745495.125,03/14/2021 05:33:51
Sample_1,CER,CER(20:0),594.6,264.4,9.459349632,9.174949646,9.648949623,2899509.75,1130770.875,03/13/2021 16:21:44
PLASMA_LTR,CER,CER(20:1),592.6,264.4,9.347533226,9.050033569,9.435032845,70851.45313,7367.597168,03/14/2021 05:33:51
Sample_1,CER,CER(20:1),592.6,264.4,9.118782997,9.048383713,9.435583115,312703.2188,50169.85547,03/13/2021 16:21:44
PLASMA_LTR,CER,CER(22:0),622.7,264.4,9.732483864,9.442083359,9.910683632,18832404,6399384.5,03/14/2021 05:33:51
Sample_1,CER,CER(22:0),622.7,264.4,9.742133141,9.438532829,9.913733482,13240073,5138199,03/13/2021 16:21:44
PLASMA_LTR,CER,CER(22:1),620.7,264.4,9.466583252,9.287182808,9.692783356,548150.75,71519.21094,03/14/2021 05:33:51
Sample_1,CER,CER(22:1),620.7,264.4,9.427749634,9.293449402,9.696350098,1918188.625,233638.8906,03/13/2021 16:21:44
PLASMA_LTR,CER,CER(24:0),650.8,264.4,10.01488304,9.909282684,10.179883,73368896,23030024,03/14/2021 05:33:51
Sample_1,CER,CER(24:0),650.8,264.4,10.02598286,9.907182693,10.17778301,28218784,10154552,03/13/2021 16:21:44
PLASMA_LTR,CER,CER(24:1),648.8,264.4,9.712683678,9.587283134,9.937083244,25659584,8570422,03/14/2021 05:33:51
Sample_1,CER,CER(24:1),648.8,264.4,9.728933334,9.590332985,9.940133095,42678652,12165230,03/13/2021 16:21:44
PLASMA_LTR,CER,CER(26:0),678.9,264.4,10.36241627,10.14201641,10.47841644,772314,227319.5,03/14/2021 05:33:51
Sample_1,CER,CER(26:0),678.9,264.4,10.34853268,10.13763332,10.47963333,224394.8438,64628.86719,03/13/2021 16:21:44
PLASMA_LTR,CER,CER(26:1),676.9,264.4,10.00831699,9.902716637,10.11391735,461224.3438,133013.25,03/14/2021 05:33:51
Sample_1,CER,CER(26:1),676.9,264.4,10.00596619,9.900365829,10.11156654,564740.8125,159311.5938,03/13/2021 16:21:44
PLASMA_LTR,CER,SIL_CER(16:0)_d_Lipidyzer,547.6,264.4,7.865116596,7.69871664,8.133916855,17586070,3472974.75,03/14/2021 05:33:51
Sample_1,CER,SIL_CER(16:0)_d_Lipidyzer,547.6,264.4,7.870533466,7.694133282,8.135133743,16315972,3274675,03/13/2021 16:21:44
PLASMA_LTR,DAG,DAG(14:0_14:0),530.4,285.2,7.534133434,7.390133381,7.702133179,74837.20313,17168.79688,03/14/2021 05:33:51
Sample_1,DAG,DAG(14:0_14:0),530.4,285.2,7.546066761,7.394866467,7.697266579,24079.4707,6985.026367,03/13/2021 16:21:44
PLASMA_LTR,DAG,DAG(14:0_16:1),556.5,285.2,7.663300037,7.560900211,7.970499992,135535.0313,23470.87109,03/14/2021 05:33:51
Sample_1,DAG,DAG(14:0_16:1),556.5,285.2,7.693500042,7.554899693,7.970699787,55234.37109,12438.93848,03/13/2021 16:21:44
PLASMA_LTR,DAG,DAG(14:0_18:1),584.4,285.2,9.022649765,8.832149506,9.276649475,1004407.938,174936.7188,03/14/2021 05:33:51
Sample_1,DAG,DAG(14:0_18:1),584.4,285.2,9.002082825,8.838282585,9.28288269,526134.9375,102031.0859,03/13/2021 16:21:44
PLASMA_LTR,DAG,DAG(14:0_18:2),582.4,285.2,7.965366364,7.831166744,8.258166313,1088239.75,186575.7813,03/14/2021 05:33:51
Sample_1,DAG,DAG(14:0_18:2),582.4,285.2,7.960400105,7.833399773,8.265199661,146987.7813,27835.90625,03/13/2021 16:21:44
PLASMA_LTR,DAG,DAG(14:0_18:3),580.4,285.2,7.126833439,7.013833523,7.420633316,155701.8438,20555.54492,03/14/2021 05:33:51
Sample_1,DAG,DAG(14:0_18:3),580.4,285.2,7.152233124,7.021333218,7.425933361,14466.37891,2562.793701,03/13/2021 16:21:44
PLASMA_LTR,DAG,DAG(14:0_20:0),614.6,285.2,9.426616669,9.387016296,9.730216026,16665.2207,5491.912109,03/14/2021 05:33:51
Sample_1,DAG,DAG(14:0_20:0),614.6,285.2,9.66621685,9.382416725,9.732216835,23543.26758,5913.034668,03/13/2021 16:21:44
PLASMA_LTR,DAG,DAG(14:0_20:4),606.4,285.2,7.769750118,7.564949989,7.923350334,155484.2813,28489.67578,03/14/2021 05:33:51
Sample_1,DAG,DAG(14:0_20:4),606.4,285.2,7.76271677,7.561116695,7.926516533,58657.01172,11351.68555,03/13/2021 16:21:44
PLASMA_LTR,DAG,DAG(14:0_22:6),630.5,285.3,7.429699898,7.273700237,7.585700035,44856.83594,7669.20752,03/14/2021 05:33:51
Sample_1,DAG,DAG(14:0_22:6),630.5,285.3,7.427299976,7.276100159,7.578500271,30738.71289,5845.14502,03/13/2021 16:21:44
PLASMA_LTR,DAG,DAG(16:0_16:0),586.5,313.3,9.390166283,9.267666817,9.652667046,5982715,2123431.5,03/14/2021 05:33:51
Sample_1,DAG,DAG(16:0_16:0),586.5,313.3,9.389100075,9.265899658,9.653100014,3051256.5,1355273.375,03/13/2021 16:21:44
PLASMA_LTR,DAG,DAG(16:0_16:1),584.4,313.2,9.032783508,8.880383492,9.362983704,1156768.125,198072.0469,03/14/2021 05:33:51
Sample_1,DAG,DAG(16:0_16:1),584.4,313.2,9.02388382,8.879883766,9.359883308,1105759.5,238749.8281,03/13/2021 16:21:44
PLASMA_LTR,DAG,DAG(16:0_18:0),614.4,313.2,9.657616615,9.578415871,9.822616577,1718171.25,771499.3125,03/14/2021 05:33:51
Sample_1,DAG,DAG(16:0_18:0),614.4,313.2,9.667366982,9.574966431,9.825766563,1167610.875,412219.8438,03/13/2021 16:21:44
PLASMA_LTR,DAG,DAG(16:0_18:1),612.6,313.2,9.423466682,9.283467293,9.615966797,14715340,3674350.25,03/14/2021 05:33:51
Sample_1,DAG,DAG(16:0_18:1),612.6,313.2,9.422050476,9.28125,9.615650177,10980532,3543977.5,03/13/2021 16:21:44
PLASMA_LTR,DAG,DAG(16:0_18:2),610.4,313.2,9.161099434,9.003600121,9.476099968,22965950,7447962,03/14/2021 05:33:51
Sample_1,DAG,DAG(16:0_18:2),610.4,313.2,9.178500175,9.002500534,9.477700233,5209430,1312521.75,03/13/2021 16:21:44
PLASMA_LTR,DAG,DAG(16:0_18:3),608.5,313.2,8.392800331,8.287199974,8.680800438,1481335.125,149669.6563,03/14/2021 05:33:51
Sample_1,DAG,DAG(16:0_18:3),608.5,313.2,8.372067451,8.286267281,8.67626667,169466.8281,18960.27734,03/13/2021 16:21:44
PLASMA_LTR,DAG,DAG(16:0_20:3),636.5,313.3,9.253899574,8.991399765,9.481399536,1332048.875,203887.25,03/14/2021 05:33:51
Sample_1,DAG,DAG(16:0_20:3),636.5,313.3,9.341016769,8.989016533,9.481816292,963043.625,209775.3906,03/13/2021 16:21:44
PLASMA_LTR,DAG,DAG(16:0_20:4),634.5,313.3,9.069450378,8.942450523,9.247250557,1766290.875,418321.7188,03/14/2021 05:33:51
Sample_1,DAG,DAG(16:0_20:4),634.5,313.3,9.07286644,8.939666748,9.250466347,1568598.375,389148.9375,03/13/2021 16:21:44
PLASMA_LTR,DAG,DAG(16:0_20:5),632.4,313.3,8.196200371,8.032999992,8.445799828,245109.5469,41613.88672,03/14/2021 05:33:51
Sample_1,DAG,DAG(16:0_20:5),632.4,313.3,8.225416183,8.037816048,8.453216553,94901.85938,12403.38867,03/13/2021 16:21:44
PLASMA_LTR,DAG,DAG(16:0_22:5),660.5,313.3,9.244283676,8.981783867,9.436783791,852142.4375,137480.7813,03/14/2021 05:33:51
Sample_1,DAG,DAG(16:0_22:5),660.5,313.3,9.244684219,8.98068428,9.43828392,471983.375,108915.9688,03/13/2021 16:21:44
PLASMA_LTR,DAG,DAG(16:0_22:6),658.5,313.3,8.719666481,8.60206604,8.946466446,490393.75,84206.66406,03/14/2021 05:33:51
Sample_1,DAG,DAG(16:0_22:6),658.5,313.3,8.747749329,8.599549294,8.950550079,388494.3125,66278.10156,03/13/2021 16:21:44
PLASMA_LTR,DAG,DAG(16:1_16:1),582.4,311.2,7.840299606,7.712299824,8.109099388,335312.9063,47824.06641,03/14/2021 05:33:51
Sample_1,DAG,DAG(16:1_16:1),582.4,311.2,7.833316326,7.707316399,8.110516548,511991.3125,95136.61719,03/13/2021 16:21:44
PLASMA_LTR,DAG,DAG(16:1_18:0),612.6,311.3,9.423382759,9.195882797,9.59838295,316937.75,42984.19141,03/14/2021 05:33:51
Sample_1,DAG,DAG(16:1_18:0),612.6,311.3,9.421883583,9.193083763,9.597883224,537738.5625,153324.75,03/13/2021 16:21:44
PLASMA_LTR,DAG,DAG(16:1_18:1),610.4,311.2,9.109333038,8.951833725,9.424333572,2897957,662781.6875,03/14/2021 05:33:51
Sample_1,DAG,DAG(16:1_18:1),610.4,311.2,9.10913372,8.950734138,9.425933838,6278609,1621433.5,03/13/2021 16:21:44
PLASMA_LTR,DAG,DAG(16:1_18:2),608.5,311.2,8.106766701,7.995166779,8.416766167,1611711.875,237495.1563,03/14/2021 05:33:51
Sample_1,DAG,DAG(16:1_18:2),608.5,311.2,8.122699738,7.995699883,8.41479969,852523.5,118298.8516,03/13/2021 16:21:44
PLASMA_LTR,DAG,DAG(16:1_18:3),606.4,311.2,7.429699898,7.177700043,7.585700035,245049.5781,28872.07031,03/14/2021 05:33:51
Sample_1,DAG,DAG(16:1_18:3),606.4,311.2,7.264166832,7.188566685,7.591766834,102528.6016,10044.70703,03/13/2021 16:21:44
PLASMA_LTR,DAG,DAG(16:1_20:0),640.6,283.2,10.51321602,10.15361595,10.69301605,24615.16797,3476.218262,03/14/2021 05:33:51
Sample_1,DAG,DAG(16:1_20:0),640.6,283.2,10.37703323,10.1547327,10.69053268,14796.03613,2632.940186,03/13/2021 16:21:44
PLASMA_LTR,DAG,DAG(16:1_20:2),636.6,311.3,9.207532883,9.085033417,9.347533226,217768.2031,44330.58203,03/14/2021 05:33:51
Sample_1,DAG,DAG(16:1_20:2),636.6,311.3,9.241983414,9.083582878,9.347582817,178646.5625,31482.7793,03/13/2021 16:21:44
PLASMA_LTR,DAG,DAG(16:1_20:4),632.4,311.3,7.901916504,7.748316288,8.157916069,477179.9063,74393.17969,03/14/2021 05:33:51
Sample_1,DAG,DAG(16:1_20:4),632.4,311.3,7.909716606,7.744616985,8.151017189,654659.375,120531.5859,03/13/2021 16:21:44
PLASMA_LTR,DAG,DAG(16:1_22:6),656.5,311.3,7.592683315,7.439083576,7.810283661,84996.39063,15584.72754,03/14/2021 05:33:51
Sample_1,DAG,DAG(16:1_22:6),656.5,311.3,7.585949898,7.43475008,7.812749863,250898.9063,50804.0625,03/13/2021 16:21:44
PLASMA_LTR,DAG,DAG(18:0_18:1),640.4,341.3,9.688716888,9.50391674,9.847117424,3415177.75,1152394.875,03/14/2021 05:33:51
Sample_1,DAG,DAG(18:0_18:1),640.4,341.3,9.685166359,9.500366211,9.850166321,3696548,1386532.5,03/13/2021 16:21:44
PLASMA_LTR,DAG,DAG(18:0_18:2),638.4,341.3,9.466583252,9.177983284,9.653782845,5162990.5,1600441.5,03/14/2021 05:33:51
Sample_1,DAG,DAG(18:0_18:2),638.4,341.3,9.475150108,9.174949646,9.648949623,2098021,538560,03/13/2021 16:21:44
